This is pdfTeX, Version 3.141592653-2.6-1.40.28 (MiKTeX 25.12) (preloaded format=pdflatex 2026.7.8)  11 JUL 2026 11:39
entering extended mode
 restricted \write18 enabled.
 file:line:error style messages enabled.
 %&-line parsing enabled.
**c:/Users/PC/Desktop/pps/main.tex
(c:/Users/PC/Desktop/pps/main.tex
LaTeX2e <2025-11-01>
L3 programming layer <2025-12-24>
(D:\Program Files\MiKTeX\tex/latex/base\article.cls
Document Class: article 2025/01/22 v1.4n Standard LaTeX document class
(D:\Program Files\MiKTeX\tex/latex/base\size12.clo
File: size12.clo 2025/01/22 v1.4n Standard LaTeX file (size option)
)
\c@part=\count275
\c@section=\count276
\c@subsection=\count277
\c@subsubsection=\count278
\c@paragraph=\count279
\c@subparagraph=\count280
\c@figure=\count281
\c@table=\count282
\abovecaptionskip=\skip49
\belowcaptionskip=\skip50
\bibindent=\dimen148
) (C:\Users\PC\AppData\Roaming\MiKTeX\tex/latex/caption\caption.sty
Package: caption 2023/08/05 v3.6o Customizing captions (AR)
 (C:\Users\PC\AppData\Roaming\MiKTeX\tex/latex/caption\caption3.sty
Package: caption3 2023/07/31 v2.4d caption3 kernel (AR)
 (D:\Program Files\MiKTeX\tex/latex/graphics\keyval.sty
Package: keyval 2022/05/29 v1.15 key=value parser (DPC)
\KV@toks@=\toks17
)
\caption@tempdima=\dimen149
\captionmargin=\dimen150
\caption@leftmargin=\dimen151
\caption@rightmargin=\dimen152
\caption@width=\dimen153
\caption@indent=\dimen154
\caption@parindent=\dimen155
\caption@hangindent=\dimen156
Package caption Info: Standard document class detected.
)
\c@caption@flags=\count283
\c@continuedfloat=\count284
) (C:\Users\PC\AppData\Roaming\MiKTeX\tex/latex/float\float.sty
Package: float 2001/11/08 v1.3d Float enhancements (AL)
\c@float@type=\count285
\float@exts=\toks18
\float@box=\box53
\@float@everytoks=\toks19
\@floatcapt=\box54
) (C:\Users\PC\AppData\Roaming\MiKTeX\tex/latex/vntex\vietnam.sty
Package: vietnam 2009/07/12 v1.3 support for Vietnamese
 (D:\Program Files\MiKTeX\tex/latex/base\ifthen.sty
Package: ifthen 2024/03/16 v1.1e Standard LaTeX ifthen package (DPC)
) (D:\Program Files\MiKTeX\tex/latex/base\fontenc.sty
Package: fontenc 2025/07/18 v2.1d Standard LaTeX package
 (C:\Users\PC\AppData\Roaming\MiKTeX\tex/latex/vntex\t5enc.def
File: t5enc.def 2006/11/21 v1.4 Vietnamese T5 encoding
Now handling font encoding T5 ...
\c@Bemerkung=\count358
\c@currbemerkungctr=\count359
\c@endbemerkungctr=\count360
\c@bemerkung=\count361
\c@currAnmerkungctr=\count362
\c@endAnmerkungctr=\count363
\c@Anmerkung=\count364
\c@curranmerkungctr=\count365
\c@endanmerkungctr=\count366
\c@anmerkung=\count367
\c@currRemarkctr=\count368
\c@endRemarkctr=\count369
\c@Remark=\count370
\c@currremarkctr=\count371
\c@endremarkctr=\count372
\c@remark=\count373
\c@currDefinitionctr=\count374
\c@endDefinitionctr=\count375
\c@Definition=\count376
\c@currdefinitionctr=\count377
\c@enddefinitionctr=\count378
\c@definition=\count379
 (D:\Program Files\MiKTeX\tex/latex/amsfonts\amssymb.sty
Package: amssymb 2013/01/14 v3.01 AMS font symbols
)
\c@currProofctr=\count380
\c@endProofctr=\count381
\c@Proof=\count382
\c@currproofctr=\count383
\c@endproofctr=\count384
\c@proof=\count385
\c@currBeweisctr=\count386
\c@endBeweisctr=\count387
\c@Beweis=\count388
\c@currbeweisctr=\count389
\c@endbeweisctr=\count390
\c@beweis=\count391
)) (D:\Program Files\MiKTeX\tex/latex/amsfonts\eucal.sty
Package: eucal 2009/06/22 v3.00 Euler Script fonts
LaTeX Font Info:    Overwriting math alphabet `\EuScript' in version `bold'
(Font)                  U/eus/m/n --> U/eus/b/n on input line 33.
) (D:\Program Files\MiKTeX\tex/latex/hyperref\hyperref.sty
Package: hyperref 2025-07-12 v7.01o Hypertext links for LaTeX
 (C:\Users\PC\AppData\Roaming\MiKTeX\tex/latex/kvsetkeys\kvsetkeys.sty
Package: kvsetkeys 2022-10-05 v1.19 Key value parser (HO)
) (C:\Users\PC\AppData\Roaming\MiKTeX\tex/generic/kvdefinekeys\kvdefinekeys.sty
Package: kvdefinekeys 2019-12-19 v1.6 Define keys (HO)
) (C:\Users\PC\AppData\Roaming\MiKTeX\tex/generic/pdfescape\pdfescape.sty
Package: pdfescape 2019/12/09 v1.15 Implements pdfTeX's escape features (HO)
 (C:\Users\PC\AppData\Roaming\MiKTeX\tex/generic/ltxcmds\ltxcmds.sty
Package: ltxcmds 2023-12-04 v1.26 LaTeX kernel commands for general use (HO)
) (D:\Program Files\MiKTeX\tex/generic/pdftexcmds\pdftexcmds.sty
Package: pdftexcmds 2020-06-27 v0.33 Utility functions of pdfTeX for LuaTeX (HO)
 (C:\Users\PC\AppData\Roaming\MiKTeX\tex/generic/infwarerr\infwarerr.sty
Package: infwarerr 2019/12/03 v1.5 Providing info/warning/error messages (HO)
)
Package pdftexcmds Info: \pdf@primitive is available.
Package pdftexcmds Info: \pdf@ifprimitive is available.
Package pdftexcmds Info: \pdfdraftmode found.
)) (C:\Users\PC\AppData\Roaming\MiKTeX\tex/latex/hycolor\hycolor.sty
Package: hycolor 2020-01-27 v1.10 Color options for hyperref/bookmark (HO)
) (D:\Program Files\MiKTeX\tex/latex/hyperref\nameref.sty
Package: nameref 2025-06-21 v2.57 Cross-referencing by name of section
 (C:\Users\PC\AppData\Roaming\MiKTeX\tex/latex/refcount\refcount.sty
Package: refcount 2019/12/15 v3.6 Data extraction from label references (HO)
) (C:\Users\PC\AppData\Roaming\MiKTeX\tex/generic/gettitlestring\gettitlestring.sty
